Date,PM2.5 AQI Value,AQI Category,Site Name,Site ID,Source
8/29/15,64,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/30/15,55,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/31/15,66,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/1/15,61,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/2/15,62,Moderate,Glendora,06-037-0016,AQS
9/3/15,64,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/4/15,60,Moderate,Reseda,06-037-1201,AQS
9/5/15,63,Moderate,Glendora,06-037-0016,AQS
9/6/15,65,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/7/15,57,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/8/15,58,Moderate,Anaheim,06-059-0007,AQS
9/9/15,63,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/10/15,71,Moderate,Reseda,06-037-1201,AQS
9/11/15,66,Moderate,Reseda,06-037-1201,AQS
9/12/15,63,Moderate,Reseda,06-037-1201,AQS
9/13/15,60,Moderate,Reseda,06-037-1201,AQS
9/14/15,63,Moderate,Reseda,06-037-1201,AQS
9/15/15,49,Good,Reseda,06-037-1201,AQS
9/16/15,68,Moderate,Reseda,06-037-1201,AQS
9/17/15,55,Moderate,Glendora,06-037-0016,AQS
9/18/15,60,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/19/15,68,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/20/15,61,Moderate,Anaheim,06-059-0007,AQS
9/21/15,67,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/22/15,81,Moderate,Reseda,06-037-1201,AQS
9/23/15,82,Moderate,Reseda,06-037-1201,AQS
9/24/15,79,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/25/15,74,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/26/15,74,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/27/15,70,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/28/15,70,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/29/15,64,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
9/30/15,66,Moderate,Anaheim,06-059-0007,AQS
10/1/15,64,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/2/15,56,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/3/15,61,Moderate,Reseda,06-037-1201,AQS
10/4/15,47,Good,Reseda,06-037-1201,AQS
10/5/15,53,Moderate,Reseda,06-037-1201,AQS
10/6/15,57,Moderate,Anaheim,06-059-0007,AQS
10/7/15,69,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/8/15,85,Moderate,Anaheim,06-059-0007,AQS
10/9/15,68,Moderate,Anaheim,06-059-0007,AQS
10/10/15,52,Moderate,Reseda,06-037-1201,AQS
10/11/15,56,Moderate,Reseda,06-037-1201,AQS
10/12/15,61,Moderate,Reseda,06-037-1201,AQS
10/13/15,64,Moderate,Reseda,06-037-1201,AQS
10/14/15,65,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/15/15,59,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/16/15,64,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/17/15,62,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/18/15,56,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/19/15,56,Moderate,Reseda,06-037-1201,AQS
10/20/15,57,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/21/15,55,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/22/15,60,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/23/15,72,Moderate,Anaheim,06-059-0007,AQS
10/24/15,55,Moderate,Anaheim,06-059-0007,AQS
10/25/15,61,Moderate,Reseda,06-037-1201,AQS
10/26/15,66,Moderate,Anaheim,06-059-0007,AQS
10/27/15,74,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/28/15,72,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
10/29/15,54,Moderate,Anaheim,06-059-0007,AQS
10/30/15,39,Good,Long Beach-Route 710 Near Road,06-037-4008,AQS
10/31/15,54,Moderate,Anaheim,06-059-0007,AQS
11/1/15,60,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
11/2/15,59,Moderate,Reseda,06-037-1201,AQS
11/3/15,45,Good,Reseda,06-037-1201,AQS
11/4/15,52,Moderate,Anaheim,06-059-0007,AQS
11/5/15,49,Good,Reseda,06-037-1201,AQS
11/6/15,52,Moderate,Long Beach (South),06-037-4004,AQS
11/7/15,51,Moderate,Long Beach (South),06-037-4004,AQS
11/8/15,56,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
11/9/15,59,Moderate,Reseda,06-037-1201,AQS
11/10/15,50,Good,Reseda,06-037-1201,AQS
11/11/15,42,Good,Long Beach (South),06-037-4004,AQS
11/12/15,45,Good,Long Beach (South),06-037-4004,AQS
11/13/15,58,Moderate,Anaheim,06-059-0007,AQS
11/14/15,72,Moderate,Compton,06-037-1302,AQS
11/15/15,63,Moderate,Reseda,06-037-1201,AQS
11/16/15,30,Good,Reseda,06-037-1201,AQS
11/17/15,55,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
11/18/15,60,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
11/19/15,66,Moderate,Long Beach (South),06-037-4004,AQS
11/20/15,66,Moderate,Long Beach (South),06-037-4004,AQS
